fecha,inflacion_mensual,inflacion_anual,fuente_mensual,fuente_anual,fuente_oficial_ultimo_mes,fuente_historia_mensual,fecha_publicacion_vintage
2009-02-01,0.84,6.47,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-03-01,0.5,6.13,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-04-01,0.32,5.73,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-05-01,0.01,4.77,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-06-01,-0.06,3.81,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-07-01,-0.04,3.27,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-08-01,0.04,3.12,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-09-01,-0.11,3.21,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-10-01,-0.13,2.73,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-11-01,-0.07,2.37,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
