fecha,canasta_tickers,pares_precio_validos,retornos_atipicos,cobertura_canasta,retorno_equiponderado_pct,lideres_tickers,lideres_pares_validos,lideres_atipicos,cobertura_lideres,retorno_lideres_pct,estado,metodologia
2017-11-01,22,22,0,1.0,1.380527,7,7,0,1.0,1.837857,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-12-01,22,22,0,1.0,2.521506,7,7,0,1.0,6.100131,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-01-01,22,22,0,1.0,-0.056114,7,7,0,1.0,3.42756,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-02-01,22,22,0,1.0,-3.596843,7,7,0,1.0,-4.340657,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-03-01,22,22,0,1.0,-2.257468,7,7,0,1.0,-2.421989,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-04-01,22,22,0,1.0,4.236888,7,7,0,1.0,8.931368,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-05-01,22,22,0,1.0,-1.849286,7,7,0,1.0,-1.981059,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-06-01,22,22,0,1.0,0.634505,7,7,0,1.0,1.978361,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-07-01,22,22,0,1.0,-3.395544,7,7,0,1.0,-3.010657,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-08-01,22,22,0,1.0,-2.375131,7,7,0,1.0,1.232415,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-09-01,22,22,0,1.0,-5.683323,7,7,0,1.0,-2.748327,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-10-01,22,22,0,1.0,-10.022595,7,7,0,1.0,-7.162861,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-11-01,22,22,0,1.0,0.891281,7,7,0,1.0,1.364714,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2018-12-01,22,22,0,1.0,-2.637457,7,7,0,1.0,-1.742929,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-01-01,22,22,0,1.0,8.323432,7,7,0,1.0,8.086822,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-02-01,22,22,0,1.0,2.238169,7,7,0,1.0,3.075429,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-03-01,22,22,0,1.0,6.732199,7,7,0,1.0,6.003562,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-04-01,22,22,0,1.0,0.035594,7,7,0,1.0,-1.079153,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-05-01,22,22,0,1.0,-5.107685,7,7,0,1.0,-4.951213,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-06-01,22,22,0,1.0,4.50787,7,7,0,1.0,4.496904,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-07-01,22,22,0,1.0,0.856181,7,7,0,1.0,-0.183121,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-08-01,21,21,0,1.0,-1.487956,7,7,0,1.0,1.069042,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-09-01,21,21,0,1.0,1.900942,7,7,0,1.0,0.160024,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-10-01,21,21,0,1.0,2.758964,7,7,0,1.0,4.455797,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-11-01,21,21,0,1.0,-2.751322,7,7,0,1.0,-0.333951,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2019-12-01,21,21,0,1.0,2.705944,7,7,0,1.0,2.465321,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-01-01,21,21,0,1.0,-1.827394,7,7,0,1.0,-3.062929,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-02-01,21,21,0,1.0,-3.49616,7,7,0,1.0,-4.795817,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-03-01,21,21,0,1.0,-25.045659,7,7,0,1.0,-28.434555,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-04-01,21,21,0,1.0,-0.095894,7,7,0,1.0,1.958657,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-05-01,21,20,1,0.9524,,7,7,0,1.0,-3.303682,sin_cobertura_o_atipicos,precios_mensuales_sin_ajustes_corporativos_verificados
2020-06-01,21,20,1,0.9524,,7,7,0,1.0,1.401861,sin_cobertura_o_atipicos,precios_mensuales_sin_ajustes_corporativos_verificados
2020-07-01,21,21,0,1.0,1.95312,7,7,0,1.0,2.604803,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-08-01,22,22,0,1.0,8.930689,7,7,0,1.0,8.09621,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-09-01,22,22,0,1.0,-0.99786,7,7,0,1.0,-4.165116,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-10-01,22,22,0,1.0,-4.870379,7,7,0,1.0,-3.089829,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-11-01,23,23,0,1.0,10.047878,7,7,0,1.0,12.023236,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2020-12-01,23,23,0,1.0,12.163482,7,7,0,1.0,14.128791,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-01-01,23,23,0,1.0,-3.413135,7,7,0,1.0,-6.559899,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-02-01,23,23,0,1.0,-0.332698,7,7,0,1.0,2.335811,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-03-01,23,23,0,1.0,-2.186212,7,7,0,1.0,-4.546809,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-04-01,23,23,0,1.0,-4.981835,7,7,0,1.0,-6.862668,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-05-01,23,23,0,1.0,-4.033749,7,7,0,1.0,-1.544492,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-06-01,23,23,0,1.0,2.12736,7,7,0,1.0,3.611875,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-07-01,23,23,0,1.0,-2.018711,7,7,0,1.0,-2.504697,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-08-01,23,23,0,1.0,4.760004,7,7,0,1.0,7.268368,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-09-01,23,23,0,1.0,2.020834,7,7,0,1.0,3.118052,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-10-01,23,23,0,1.0,2.996793,7,7,0,1.0,2.69314,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-11-01,22,20,0,0.9091,-1.487372,5,5,0,1.0,0.523145,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2021-12-01,22,20,0,0.9091,3.820028,5,5,0,1.0,6.318218,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-01-01,22,20,0,0.9091,8.921934,5,5,0,1.0,5.943717,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-02-01,22,20,0,0.9091,-2.872641,5,5,0,1.0,1.30361,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-03-01,22,20,0,0.9091,0.590841,5,5,0,1.0,1.570209,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-04-01,22,20,0,0.9091,-1.628237,5,5,0,1.0,-0.740158,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-05-01,22,20,0,0.9091,-0.964442,5,5,0,1.0,2.227483,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-06-01,22,20,0,0.9091,-16.587725,5,5,0,1.0,-10.631643,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-07-01,22,20,0,0.9091,-4.626825,5,5,0,1.0,-3.5558,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-08-01,22,20,0,0.9091,-6.254217,5,5,0,1.0,-9.001428,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-09-01,22,21,0,0.9545,-9.568108,5,5,0,1.0,-6.570268,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-10-01,22,21,0,0.9545,2.055084,5,5,0,1.0,7.733153,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-11-01,22,21,0,0.9545,-0.22383,5,5,0,1.0,-1.96787,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2022-12-01,22,21,0,0.9545,1.667491,5,5,0,1.0,4.351873,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-01-01,22,21,0,0.9545,-0.094976,5,5,0,1.0,-0.490797,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-02-01,22,21,0,0.9545,-10.653294,5,5,0,1.0,-4.244051,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-03-01,22,21,0,0.9545,2.787341,5,5,0,1.0,-2.686263,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-04-01,22,21,0,0.9545,6.080046,5,5,0,1.0,4.02811,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-05-01,22,21,0,0.9545,-2.394863,5,5,0,1.0,-6.356491,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-06-01,22,21,0,0.9545,2.081079,5,5,0,1.0,-0.922043,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-07-01,22,21,0,0.9545,3.31121,5,5,0,1.0,3.182532,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-08-01,22,21,0,0.9545,-10.633855,5,5,0,1.0,-8.407413,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-09-01,22,21,0,0.9545,6.061112,5,5,0,1.0,4.003949,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-10-01,22,21,0,0.9545,-0.879121,5,5,0,1.0,-2.917054,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-11-01,22,21,0,0.9545,2.414273,5,5,0,1.0,2.590432,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2023-12-01,22,21,0,0.9545,9.438051,5,5,0,1.0,4.425914,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-01-01,22,21,0,0.9545,8.595157,5,5,0,1.0,7.484515,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-02-01,22,21,0,0.9545,-0.497493,5,5,0,1.0,-4.079517,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-03-01,22,21,0,0.9545,5.286785,5,5,0,1.0,3.164254,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-04-01,22,21,0,0.9545,5.947143,5,5,0,1.0,8.889876,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-05-01,22,21,0,0.9545,2.365062,5,5,0,1.0,-1.755506,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-06-01,22,21,0,0.9545,-1.672647,5,5,0,1.0,-0.667998,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-07-01,22,21,0,0.9545,-2.854099,5,5,0,1.0,-3.906987,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-08-01,22,21,0,0.9545,2.303857,5,5,0,1.0,0.083398,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-09-01,22,21,0,0.9545,-2.619846,5,5,0,1.0,-4.45422,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2024-10-01,22,21,0,0.9545,5.87925,5,5,0,1.0,5.711115,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
